英文,谷歌翻译,引用数量？
komeiji satori,komeiji satori,20123
blue nails,蓝色指甲,20076
fingering,指法,20072
bubble,气泡,20060
puffy long sleeves,蓬松长袖,20037
epaulettes,肩章,20028
innertube,内胎,20008
walking,行走,19998
crossdressing,变装,19978
suzumiya haruhi no yuuutsu,凉宫春日的悠悠,19946
frilled bikini,褶边比基尼,19944
ribbon-trimmed sleeves,丝带边袖,19878
fate/extra,命运/额外,19843
teacup,茶杯,19843
halloween,万圣节,19829
naughty face,顽皮的脸,19816
idolmaster shiny colors,偶像大师闪亮的颜色,19795
out of frame,出帧,19795
contrapposto,反曲,19788
cropped jacket,短款夹克,19780
pixel-perfect duplicate,像素完美的副本,19770
legs apart,双腿分开,19747
kaname madoka,要小圆,19709
dragon horns,龙角,19707
thong,丁字裤,19660
cake,蛋糕,19557
clothed female nude male,穿衣服的女性裸体男性,19451
arm behind head,手臂在头后,19441
oni horns,鬼角,19421
world witches series,世界女巫系列,19413
condom,避孕套,19387
pink ribbon,粉红丝带,19374
saigyouji yuyuko,西行寺优优子,19358
short ponytail,短马尾,19349
bowl,碗,19313
curly hair,卷发,19264
veins,静脉,19253
denim shorts,牛仔短裤,19235
hat ornament,帽饰,19235
rape,强奸,19225
demon wings,恶魔之翼,19197
black wings,黑色的翅膀,19189
beads,珠子,19176
pokemon swsh,宠物小精灵 swsh,19147
green background,绿色背景,19116
white pantyhose,白色连裤袜,19070
black-framed eyewear,黑框眼镜,19060
purple background,紫色背景,19037
one-hour drawing challenge,一小时绘画挑战,19027
resolution mismatch,分辨率不匹配,18993
spread pussy,传播 猫,18979
knee up,膝盖向上,18966
cumdrip,cumdrip,18963
school bag,书包,18954
:q,:q,18882
lolita fashion,洛丽塔时尚,18866
fur collar,毛领,18857
sun hat,太阳帽,18855
holding phone,拿着电话,18851
doggystyle,doggystyle,18845
pauldrons,肩章,18835
blue shorts,蓝色短裤,18756
empty eyes,空洞的眼睛,18721
gym uniform,体操服,18690
black sailor collar,黑色水手领,18686
spoken ellipsis,口语省略号,18684
under-rim eyewear,带框眼镜,18668
4boys,4个男孩,18664
long legs,大长腿,18649
third-party edit,第三方编辑,18581
shiny clothes,闪亮的衣服,18571
toned,色调,18568
pocket,口袋,18547
cum in mouth,暨在嘴里,18540
goggles on head,头戴护目镜,18531
bulge,凸起,18517
pink shirt,粉色衬衫,18503
jitome,jitome,18498
outside border,境外,18492
new year,新年,18474
hand on another's head,手放在别人的头上,18468
topless male,裸照男,18459
skull,头骨,18458
blue flower,蓝花,18406
crying with eyes open,睁着眼睛哭,18396
purple skirt,紫色裙子,18351
monster,怪物,18347
kaga (kancolle),加贺 (kancolle),18336
hand in own hair,手牵自己的头发,18324
sunset,日落,18308
science fiction,科幻小说,18284
inubashiri momiji,犬走红叶,18240
green dress,绿色连衣裙,18227
spear,矛,18227
outline,大纲,18220
shield,盾牌,18171
futanari,扶他有,18130
toenails,脚趾甲,18129
thighband pantyhose,绑腿连裤袜,18102
+ +,+ +,18099
hands on hips,双手叉腰,18099
alternate breast size,备用乳房尺寸,18097
older,较旧的,18082
emphasis lines,强调线,18037
v arms,v 武器,18021
meme,模因,18014
buruma,缅甸,18003
skeb commission,skeb 委员会,17989
female masturbation,女性手淫,17931
light blush,浅腮红,17910
frilled shirt collar,褶边衬衫领,17896
frilled apron,褶边围裙,17860
asymmetrical hair,不对称的头发,17789
o o,哦,17784
tied hair,扎头发,17718
= =,= =,17703
running,运行,17671
breast squeeze,挤奶,17613
dog,狗,17595
high-waist skirt,高腰半身裙,17590
striped bikini,条纹比基尼,17579
competition swimsuit,比赛泳衣,17566
long skirt,长裙,17558
animal hands,动物手,17553
white sleeves,白袖,17532
ice,冰,17531
princess connect!,公主连接！,17507
minigirl,迷你女孩,17468
teddy bear,泰迪熊,17455
angel wings,天使之翼,17415
legs together,双腿并拢,17415
watch,手表,17410
track jacket,运动夹克,17386
black serafuku,黑色 serafuku,17344
head rest,头枕,17271
dog tail,狗尾巴,17246
ass grab,屁股抓,17184
folded ponytail,折叠马尾辫,17151
turret,炮塔,17124
hat removed,帽子取下,17120
bespectacled,戴眼镜的,17118
toaru majutsu no index,toaru majutsu 无索引,17090
mole on breast,乳房上有痣,17080
blue theme,蓝色主题,17073
tress ribbon,发丝带,17054
impossible clothes,不可能的衣服,17043
blue footwear,蓝色鞋,17032
popsicle,冰棒,16977
paw pose,爪子姿势,16967
gold trim,金色饰边,16951
white skin,白皮肤,16938
faceless male,不露面的男性,16879
ghost,鬼,16876
pouch,小袋,16875
red scarf,红围巾,16872
rabbit,兔子,16867
shawl,披肩,16854
poke ball,戳球,16836
purple bow,紫色蝴蝶结,16815
single earring,单耳环,16780
white pupils,白瞳,16779
sarashi,萨拉希,16760
plump,丰满,16740
source request,源请求,16674
brown skirt,棕色裙子,16672
knees together feet apart,双膝并拢双脚分开,16654
yukata,浴衣,16624
hand in pocket,手放在口袋里,16612
cigarette,香烟,16576
bow (weapon),弓（武器）,16528
white sailor collar,白色水手领,16509
hand between legs,双腿之间的手,16501
twins,双胞胎,16447
hair down,头发下来,16437
sheathed,护套,16421
age difference,年龄差,16407
drinking straw,吸管,16349
dragon girl,龙女,16346
page number,页码,16301
league of legends,英雄联盟,16300
upside-down,颠倒,16259
open coat,开大衣,16255
oni,鬼,16234
black belt,黑带,16158
serious,严重的,16143
high collar,高领,16135
jeans,牛仔裤,16122
smirk,傻笑,16103
brown pantyhose,棕色连裤袜,16099
yakumo ran,八云跑,16080
military hat,军帽,16076
light rays,光线,16073
object insertion,对象插入,16054
fate/apocrypha,命运/伪经,16013
;),;),16002
injury,受伤,15995
thought bubble,思想泡泡,15972
brown jacket,棕色夹克,15948
mini hat,迷你帽子,15946
blue panties,蓝色内裤,15901
dakimakura (medium),dakimakura（中）,15892
black coat,黑色外套,15874
robe,长袍,15869
pose,姿势,15842
tabard,战袍,15831
street fighter,街头霸王,15803
sideburns,鬓角,15786
lollipop,棒棒糖,15779
yellow ribbon,黄丝带,15778
black vest,黑色背心,15768
striped shirt,条纹衬衫,15763
hoop earrings,圈形耳环,15733
butt crack,屁股裂纹,15688
yellow shirt,黄色衬衫,15673
pajamas,睡衣,15660
patreon username,patreon 用户名,15654
bouncing breasts,弹跳的乳房,15624
boku no hero academia,boku no hero 学术界,15579
| |,| |,15576
crystal,水晶,15561
circlet,圆环,15545
lantern,灯笼,15527
striped bow,条纹蝴蝶结,15501
red rose,红玫瑰,15497
contemporary,现代风格,15489
missionary,传教士,15480
wide-eyed,睁大眼睛,15473
kagamine rin,镜音凛 15453,15453
water drop,水滴,15426
chocolate,巧克力,15412
ofuda,大田,15385
@ @,@@,15375
top hat,大礼帽,15337
:t,:t,15318
braided ponytail,编织马尾辫,15298
jumping,跳跃,15275
breastplate,胸甲,15269
rock,摇滚,15229
oekaki,大柿,15201
moriya suwako,守谷诹访子,15188
hug from behind,从背后拥抱,15186
threesome,三人组,15166
hairpin,发夹,15156
konpaku youmu (ghost),konpaku youmu (鬼),15140
outstretched hand,伸出的手,15120
white shorts,白色短裤,15108
blurry foreground,模糊的前景,15101
handbag,手提包,15096
partially fingerless gloves,部分露指手套,15084
chopsticks,筷子,15066
object hug,对象拥抱,15033
height difference,高度差,15023
rumia,鲁米亚,15002
mirror,镜子,14990
belt buckle,皮带扣,14970
pink lips,粉红色的嘴唇,14967
sports bra,运动文胸,14951
valentine,情人节,14949
colored eyelashes,彩色睫毛,14948
bouquet,花束,14941
full-face blush,全脸腮红,14939
miki sayaka,三木早矢香,14936
wooden floor,木地板,14890
white hairband,白色发带,14842
stairs,楼梯,14836
mug,马克杯,14813
snowing,下雪,14796
paper,纸,14789
kazami yuuka,风见优香,14788
blood on face,脸上有血,14743
black bowtie,黑色领结,14736
mountain,山,14733
tentacle hair,触手毛,14730
blue necktie,蓝色领带,14716
sportswear,运动服,14711
shoulder bag,单肩包,14705
white kimono,白色和服,14698
covering breasts,覆盖乳房,14693
underwater,水下,14688
wedding dress,婚纱,14640
miko,巫女,14635
star hair ornament,明星发饰,14599
holding umbrella,打伞,14564
mature male,成熟的男性,14549
city,城市,14512
shimakaze (kancolle),岛风 (kancolle),14496
snake,蛇,14481
animated gif,动画 gif,14424
meme attire,模因服装,14418
the legend of zelda,塞尔达传说 14418,14418
vibrator,振动器,14412
kaenbyou rin,颜兵林,14409
reiuji utsuho,reiuji utsuho,14408
glint,闪烁,14391
doll,娃娃,14387
bloomers,灯笼裤,14363
adjusting clothes,调整衣服,14362
cropped torso,裁剪的躯干,14329
animal hood,动物头巾,14314
saber,军刀,14295
enmaided,婢女,14265
green jacket,绿色夹克,14258
fighting stance,战斗姿态,14250
hibiki (kancolle),响（kancolle）,14235
hair bell,发铃,14229
sign,标志,14202
panties aside,除了内裤,14198
pout,噘嘴,14196
chen,陈,14181
cum on hair,暨上头发,14179
waving,挥手,14126
backless outfit,露背装,14096
aircraft,飞机,14084
ice cream,冰淇淋,14080
skirt hold,裙撑,14068
realistic,现实的,14052
borrowed character,借用字符,14023
strawberry,草莓,14023
forehead mark,额头标记,14021
motion blur,运动模糊,14014
multicolored eyes,五彩的眼睛,14004
bandaged arm,绷带手臂,14000
video,视频,13983
mouse ears,老鼠耳朵,13976
text focus,文本焦点,13953
love live! sunshine!!,爱生活！阳光！！,13941
headpiece,头饰,13928
nose,鼻子,13927
open book,打开书,13923
partially translated,部分翻译,13899
spoon,勺子,13897
orange bow,橙色蝴蝶结,13880
panties around one leg,一条腿周围的内裤,13820
pink bra,粉色文胸,13815
round teeth,圆齿,13815
card,卡,13798
remodel (kantai collection),改造 (kantai 系列),13785
fate/zero,命运/零,13777
kamishirasawa keine,神白泽keine,13774
mature female,成熟女性,13772
brother and sister,兄弟姐妹,13763
white one-piece swimsuit,白色连体泳衣,13762
raised eyebrows,挑眉,13761
!?,!?,13736
one eye covered,一只眼睛被覆盖,13721
turtleneck sweater,高领毛衣,13705
crossed bangs,交叉刘海,13684
front-tie bikini top,前系带比基尼上衣,13678
hands in pockets,双手插在口袋里,13672
colored inner hair,彩色内毛,13660
strike witches,罢工女巫,13659
fire emblem heroes,火徽英雄,13626
touken ranbu,刀剑乱舞,13622
nurse cap,护士帽,13590
eighth note,八分音符,13573
center opening,中心开口,13561
visor cap,遮阳帽,13552
clitoris,阴蒂,13549
fence,围栏,13537
bandana,头巾,13523
hair tie,发带,13475
mustache,小胡子,13438
card (medium),卡（中）,13422
tatara kogasa,tatara kogasa,13382
anklet,脚链,13370
geta,木屐,13356
palm tree,棕榈树,13332
leash,皮带,13331
dragon,龙,13327
hime cut,姬切,13321
kawashiro nitori,河城 nitori,13284
sailor hat,水手帽,13284
white pants,白色裤子,13266
sand,沙子,13260
short eyebrows,短眉毛,13257
anchor symbol,锚符号,13253
fire emblem: three houses,火徽：三房,13239
grey jacket,灰色夹克,13230
pokemon sm,宠物小精灵 sm,13218
stubble,茬,13215
holding staff,控股员工,13212
covering mouth,捂嘴,13208
arrow (projectile),箭（弹丸）,13198
idolmaster million live!,偶像大师百万直播！,13197
mash kyrielight,土豆泥 kyrielight,13196
drink,饮料,13183
green headwear,绿色头饰,13170
antennae,天线,13167
blue skin,蓝色皮肤,13158
yellow flower,黄色花,13140
top-down bottom-up,自上而下 自下而上,13135
dildo,假阳具,13127
hip focus,臀部焦点,13113
can,可以,13076
sitting on person,坐在人身上,13065
door,门,13063
hinanawi tenshi,hinanawi 天师,13062
white leotard,白色紧身衣,13060
fork,叉子,13014
green shirt,绿色衬衫,13011
scar across eye,眼睛上的疤痕,13004
frog hair ornament,青蛙发饰,12998
on floor,在地板上,12994
overflow,溢出,12987
alternate color,备用颜色,12957
spread arms,展开武器,12932
blindfold,眼罩,12925
orange background,橙色背景,12921
adjusting hair,调整头发,12907
dragon tail,龙尾,12877
mario (series),马里奥（系列）,12877
camera,相机,12850
asymmetrical bangs,不对称刘海,12835
tall image,高大的形象,12835
sakura kyouko,樱花杏子,12827
arrow (symbol),箭头（符号）,12812
round eyewear,圆形眼镜,12808
zoom layer,缩放图层,12765
tomoe mami,友美真美,12757
furrowed brow,皱眉,12752
mouth mask,口罩,12751
xenoblade chronicles (series),异种之刃编年史（系列）,12740
licking lips,舔嘴唇,12738
arched back,弓背,12726
wand,魔杖,12713
yu-gi-oh!,游戏王哦！,12699
purple flower,紫花,12685
emblem,会徽,12681
straw hat,草帽,12675
folding fan,折扇,12673
honkai (series),honkai (系列),12653
fantasy,幻想,12645
music,音乐,12644
apple,苹果,12638
double v,双 v,12638
sword art online,剑术在线,12638
lowleg,低腿,12636
anime screencap,动漫屏幕截图,12622
arms at sides,两侧的手臂,12617
green ribbon,绿丝带,12609
sharp fingernails,锋利的指甲,12600
overwatch,守望先锋,12585
sun,太阳,12584
off-shoulder dress,露肩连衣裙,12578
jacket on shoulders,肩部夹克,12565
interracial,异族,12558
sunflower,向日葵,12550
head out of frame,头出框,12525
hanging breasts,悬垂的乳房,12522
blanket,毯子,12520
arm warmers,暖臂,12519
cannon,大炮,12513
indie virtual youtuber,独立虚拟 youtuber,12501
long dress,长裙,12501
groping,摸索,12481
fake tail,假尾巴,12478
labcoat,实验服,12473
shigure (kancolle),时雨 (kancolle),12470
gag,堵嘴,12466
paid reward,支付报酬,12465
yokozuwari,横津折,12463
overwatch 1,守望先锋 1,12444
wince,畏缩,12440
gothic lolita,哥特式洛丽塔,12401
railing,栏杆,12400
bandeau,抹胸,12380
final fantasy xiv,最终幻想 xiv,12356
mixed-language commentary,混合语言评论,12338
houraisan kaguya,法来山辉夜,12335
alternate hair length,备用头发长度,12334
rabbit girl,兔女郎,12327
horizon,地平线,12322
dragon ball,龙珠,12317
pink footwear,粉色鞋,12314
heart hair ornament,心形发饰,12306
honkai impact 3rd,本海冲击3rd,12295
white wings,白色的翅膀,12273
name tag,名牌,12266
bun cover,包子盖,12257
purple ribbon,紫丝带,12251
veiny penis,静脉阴茎,12249
unbuttoned,解开,12233
leg lift,抬腿,12220
brown headwear,棕色头饰,12217
pink bikini,粉色比基尼,12210
goatee,山羊胡,12208
black bodysuit,黑色紧身连衣裤,12191
highleg panties,高腿内裤,12174
holding clothes,拿着衣服,12172
re:zero kara hajimeru isekai seikatsu,re:zero kara hajimeru isekai seikatsu,12149
floral background,花卉背景,12134
angel,天使,12117
final fantasy vii,最终幻想 vii,12112
chinese text,中文文本,12107
imageboard desourced,imageboard desourced,12106
koakuma,小熊,12089
muscular female,肌肉女,12088
clock,时钟,12077
branch,分公司,12071
hand on own cheek,手放在自己的脸颊上,12062
hitodama,一玉,12060
shota,翔太,12060
brown legwear,棕色裤袜,12046
pasties,馅饼,12042
blue kimono,蓝色和服,12027
beanie,豆豆,12020
black sclera,黑色巩膜,12016
partially visible vulva,部分可见的外阴,12004
android,机器人,11992
swimsuit under clothes,泳衣下的衣服,11992
dog girl,狗女孩,11984
kill la kill,杀啦杀,11981
hand on headwear,手戴头饰,11974
smoking,吸烟,11961
lactation,哺乳期,11935
red hairband,红色发带,11922
untied,解开,11921
eyeball,眼球,11899
petticoat,衬裙,11891
back-to-back,背靠背,11880
tales of (series),（系列）的故事,11880
paid reward available,有偿奖励,11877
off-shoulder shirt,露肩衬衫,11871
furry female,毛茸茸的女性,11863
tabi,袜带,11828
hat flower,帽子花,11798
microskirt,超短裙,11796
protected link,受保护的链接,11770
red cape,红色斗篷,11767
underbust,下胸围,11754
nipple slip,乳头滑,11742
food on face,脸上的食物,11718
kongou (kancolle),金刚 (kancolle),11710
gakuran,学园,11694
ahegao,ahegao,11688
bookshelf,书架,11684
basket,篮子,11678
armored dress,装甲连衣裙,11655
logo,标志,11644
vambraces,臂环,11641
pointless censoring,毫无意义的审查,11628
jack-o'-lantern,南瓜灯,11627
argyle,阿盖尔,11601
lace-up boots,系带靴,11569
character doll,人物娃娃,11562
criss-cross halter,交叉吊带衫,11562
purple shirt,紫色衬衫,11556
dot nose,点鼻,11553
cabbie hat,出租车司机帽,11546
